CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/20/2017,6J,1000 WILSO DR,LARCENY,,SOUTHWESTERN,Wilhelm Park
9/20/2017,6H,400 W PRATT ST,LARCENY,,CENTRAL,Downtown West
9/20/2017,6C,6800 REISTERSTOWN RD,LARCENY,,NORTHWESTERN,Reisterstown Station
9/20/2017,6E,1800 BAKER ST,LARCENY,,WESTERN,Sandtown-Winchester
9/20/2017,6B,1600 N CAREY ST,LARCENY,,WESTERN,Sandtown-Winchester
9/20/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/20/2017,6E,2500 EDGECOMBE CIR N,LARCENY,,NORTHERN,Parklane
9/20/2017,6G,0 N LAKEWOOD AVE,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
9/20/2017,6G,800 LINDEN AVE,LARCENY,,CENTRAL,Mount Vernon
9/20/2017,6C,900 N CHARLES ST,LARCENY,,CENTRAL,Mount Vernon
9/20/2017,6C,3500 HILLEN RD,LARCENY,,NORTHEASTERN,Ednor Gardens-Lakeside
9/20/2017,6J,1200 BERRY ST,LARCENY,,NORTHERN,Hampden
9/20/2017,6C,2000 HARFORD RD,LARCENY,,EASTERN,East Baltimore Midway
9/20/2017,6J,1500 W 36TH ST,LARCENY,,NORTHERN,Hampden
9/20/2017,6A,2100 HAINES ST,LARCENY,,SOUTHERN,Carroll - Camden Industri
9/20/2017,6G,100 HOPKINS PL,LARCENY,,CENTRAL,Downtown West
9/20/2017,6C,3100 PULASKI HWY,LARCENY,,SOUTHEASTERN,Ellwood Park/Monument
9/20/2017,6E,1100 W CROSS ST,LARCENY,,SOUTHERN,Washington Village/Pigtow
9/20/2017,6E,5000 WRIGHT AVE,LARCENY,,NORTHEASTERN,Armistead Gardens
